HealthScoreCrop,CropType,Location,PlantedMonth,CurrentMonth,HarvestMonth,PhosphorBudget,PhosphorInput,PhosphorOutput,YieldPerHectare,AverageWeather
85,Wheat,Munich,3,6,6,50,10,80,6000,6
72,Barley,Munich,4,7,7,55,12,85,5800,5
89,Oats,Munich,3,6,7,48,10,75,6200,6
78,Potato,Munich,4,7,9,40,8,70,7000,6
92,Carrot,Munich,5,8,10,42,9,68,5500,5
70,Corn,Munich,4,7,8,58,14,92,8500,4
85,Wheat,Munich,3,6,6,50,10,80,6000,6
72,Barley,Munich,4,7,7,55,12,85,5800,5
89,Oats,Munich,3,6,7,48,10,75,6200,6
78,Potato,Munich,4,7,9,40,8,70,7000,6
92,Carrot,Munich,5,8,10,42,9,68,5500,5
69,Corn,Munich,6,9,10,55,13,88,8100,3
75,Corn,Munich,5,8,9,58,14,92,8400,4
81,Corn,Munich,6,9,11,64,18,105,9900,2
70,Corn,Munich,4,7,8,59,14,94,8300,4
68,Corn,Munich,5,8,9,56,13,89,8200,4
76,Corn,Munich,6,9,10,60,15,95,8800,4
72,Corn,Munich,5,8,8,58,14,92,8500,4
65,Corn,Munich,6,9,9,54,13,87,8000,3
78,Corn,Munich,4,7,8,61,16,98,9100,3
74,Corn,Munich,5,8,10,57,14,92,8500,3
80,Corn,Munich,6,9,11,62,17,100,9400,3
77,Corn,Munich,4,7,8,60,15,96,8900,4
82,Corn,Munich,5,8,9,63,17,102,9700,2
69,Corn,Munich,6,9,10,55,13,88,8100,3
75,Corn,Munich,5,8,9,58,14,92,8400,4
81,Corn,Munich,6,9,11,64,18,105,9900,2
70,Corn,Munich,4,7,8,59,14,94,8300,4
68,Corn,Munich,5,8,9,56,13,89,8200,4
76,Corn,Munich,6,9,10,60,15,95,8800,4
72,Corn,Munich,5,8,8,58,14,92,8500,4
65,Corn,Munich,6,9,9,54,13,87,8000,3
78,Corn,Munich,4,7,8,61,16,98,9100,3
74,Corn,Munich,5,8,10,57,14,92,8500,3
80,Corn,Munich,6,9,11,62,17,100,9400,3
77,Corn,Munich,4,7,8,60,15,96,8900,4
82,Corn,Munich,5,8,9,63,17,102,9700,2
69,Corn,Munich,6,9,10,55,13,88,8100,3
75,Corn,Munich,5,8,9,58,14,92,8400,4
81,Corn,Munich,6,9,11,64,18,105,9900,2
70,Corn,Munich,4,7,8,59,14,94,8300,4
68,Corn,Munich,5,8,9,56,13,89,8200,4
76,Corn,Munich,6,9,10,60,15,95,8800,4
72,Corn,Munich,5,8,8,58,14,92,8500,4
65,Corn,Munich,6,9,9,54,13,87,8000,3
78,Corn,Munich,4,7,8,61,16,98,9100,3
74,Corn,Munich,5,8,10,57,14,92,8500,3
80,Corn,Munich,6,9,11,62,17,100,9400,3
77,Corn,Munich,4,7,8,60,15,96,8900,4
82,Corn,Munich,5,8,9,63,17,102,9700,2
69,Corn,Munich,6,9,10,55,13,88,8100,3
75,Corn,Munich,5,8,9,58,14,92,8400,4
81,Corn,Munich,6,9,11,64,18,105,9900,2
70,Corn,Munich,4,7,8,59,14,94,8300,4
68,Corn,Munich,5,8,9,56,13,89,8200,4
76,Corn,Munich,6,9,10,60,15,95,8800,4
72,Corn,Munich,5,8,8,58,14,92,8500,4
65,Corn,Munich,6,9,9,54,13,87,8000,3
70,Corn,Munich,4,7,8,58,14,92,8500,4
83,Wheat,Munich,4,7,7,52,11,82,6200,6
75,Barley,Munich,5,8,8,60,13,87,5600,5
88,Oats,Munich,4,7,8,45,9,72,6400,6
81,Potato,Munich,5,8,10,38,7,68,7200,6
95,Carrot,Munich,6,9,11,40,8,65,5200,5
68,Corn,Munich,5,8,9,56,13,89,8200,4
86,Wheat,Munich,5,8,8,48,10,78,5900,5
73,Barley,Munich,6,9,9,52,11,85,6000,5
90,Oats,Munich,5,8,9,50,10,80,6600,6
79,Potato,Munich,6,9,11,42,8,70,7500,6
93,Carrot,Munich,3,6,8,45,9,70,5400,5
76,Corn,Munich,6,9,10,60,15,95,8800,4
